slug,live_url,status,state,service_links,blocks_rendered,blocks_total,error
chimney-flashing-repair-in-phoenix-az,https://chimcare-web.vercel.app/location/chimney-flashing-repair-in-phoenix-az/,200,az,7,2,37,
chimney-flashing-repair-in-springfield-ma,https://chimcare-web.vercel.app/location/chimney-flashing-repair-in-springfield-ma/,200,ma,23,2,31,
chimney-flashing-repair-in-springfield-ma-2,https://chimcare-web.vercel.app/location/chimney-flashing-repair-in-springfield-ma-2/,200,-2,0,2,33,
chimney-flashing-repair-in-weymouth-ma,https://chimcare-web.vercel.app/location/chimney-flashing-repair-in-weymouth-ma/,200,ma,24,2,35,
chimney-flashing-repair-in-weymouth-ma-2,https://chimcare-web.vercel.app/location/chimney-flashing-repair-in-weymouth-ma-2/,200,-2,0,2,35,
chimney-flashing-repair-in-worcester-ma,https://chimcare-web.vercel.app/location/chimney-flashing-repair-in-worcester-ma/,200,ma,23,2,35,
chimney-flashing-repair-in-worcester-ma-2,https://chimcare-web.vercel.app/location/chimney-flashing-repair-in-worcester-ma-2/,200,-2,0,2,38,
chimney-flue-installation-in-cambridge-ma,https://chimcare-web.vercel.app/location/chimney-flue-installation-in-cambridge-ma/,200,ma,24,2,34,
chimney-flue-installation-in-dracut-ma,https://chimcare-web.vercel.app/location/chimney-flue-installation-in-dracut-ma/,200,ma,24,2,34,
chimney-flue-installation-in-leominster-ma,https://chimcare-web.vercel.app/location/chimney-flue-installation-in-leominster-ma/,200,ma,25,2,55,
chimney-flue-installation-in-lowell-ma,https://chimcare-web.vercel.app/location/chimney-flue-installation-in-lowell-ma/,200,ma,23,2,38,
chimney-flue-installation-in-springfield-ma,https://chimcare-web.vercel.app/location/chimney-flue-installation-in-springfield-ma/,200,ma,24,2,37,
chimney-flue-installation-in-weymouth-ma,https://chimcare-web.vercel.app/location/chimney-flue-installation-in-weymouth-ma/,200,ma,25,2,34,
chimney-flue-installation-in-worcester-ma,https://chimcare-web.vercel.app/location/chimney-flue-installation-in-worcester-ma/,200,ma,24,2,38,
chimney-flue-repair-in-cambridge-ma,https://chimcare-web.vercel.app/location/chimney-flue-repair-in-cambridge-ma/,200,ma,23,2,31,
chimney-flue-repair-in-dracut-ma,https://chimcare-web.vercel.app/location/chimney-flue-repair-in-dracut-ma/,200,ma,23,2,40,
chimney-flue-repair-in-leominster-ma,https://chimcare-web.vercel.app/location/chimney-flue-repair-in-leominster-ma/,200,ma,24,2,52,
chimney-flue-repair-in-lowell-ma,https://chimcare-web.vercel.app/location/chimney-flue-repair-in-lowell-ma/,200,ma,22,2,34,
chimney-flue-repair-in-springfield-ma,https://chimcare-web.vercel.app/location/chimney-flue-repair-in-springfield-ma/,200,ma,23,2,41,
chimney-flue-repair-in-weymouth-ma,https://chimcare-web.vercel.app/location/chimney-flue-repair-in-weymouth-ma/,200,ma,24,2,33,
chimney-flue-repair-in-worcester-ma,https://chimcare-web.vercel.app/location/chimney-flue-repair-in-worcester-ma/,200,ma,23,2,34,
chimney-framing-rebuild-in-cambridge-ma,https://chimcare-web.vercel.app/location/chimney-framing-rebuild-in-cambridge-ma/,200,ma,24,2,33,
chimney-framing-rebuild-in-dracut-ma,https://chimcare-web.vercel.app/location/chimney-framing-rebuild-in-dracut-ma/,200,ma,24,2,34,
chimney-framing-rebuild-in-leominster-ma,https://chimcare-web.vercel.app/location/chimney-framing-rebuild-in-leominster-ma/,200,ma,25,2,48,
chimney-framing-rebuild-in-lowell-ma,https://chimcare-web.vercel.app/location/chimney-framing-rebuild-in-lowell-ma/,200,ma,23,2,49,
chimney-framing-rebuild-in-springfield-ma,https://chimcare-web.vercel.app/location/chimney-framing-rebuild-in-springfield-ma/,200,ma,24,2,34,
chimney-framing-rebuild-in-weymouth-ma,https://chimcare-web.vercel.app/location/chimney-framing-rebuild-in-weymouth-ma/,200,ma,25,2,32,
chimney-framing-rebuild-in-worcester-ma,https://chimcare-web.vercel.app/location/chimney-framing-rebuild-in-worcester-ma/,200,ma,24,2,35,
chimney-framing-repair-in-cambridge-ma,https://chimcare-web.vercel.app/location/chimney-framing-repair-in-cambridge-ma/,200,ma,24,2,37,
chimney-framing-repair-in-dracut-ma,https://chimcare-web.vercel.app/location/chimney-framing-repair-in-dracut-ma/,200,ma,24,2,30,
chimney-framing-repair-in-lowell-ma,https://chimcare-web.vercel.app/location/chimney-framing-repair-in-lowell-ma/,200,ma,23,2,35,
chimney-framing-repair-in-springfield-ma,https://chimcare-web.vercel.app/location/chimney-framing-repair-in-springfield-ma/,200,ma,24,2,34,
chimney-framing-repair-in-weymouth-ma,https://chimcare-web.vercel.app/location/chimney-framing-repair-in-weymouth-ma/,200,ma,25,2,31,
chimney-framing-repair-in-worcester-ma,https://chimcare-web.vercel.app/location/chimney-framing-repair-in-worcester-ma/,200,ma,24,2,36,
chimney-inspection-in-cambridge-ma,https://chimcare-web.vercel.app/location/chimney-inspection-in-cambridge-ma/,200,ma,23,2,32,
chimney-inspection-in-cambridge-ma-2,https://chimcare-web.vercel.app/location/chimney-inspection-in-cambridge-ma-2/,200,-2,0,2,32,
chimney-inspection-in-dracut-ma,https://chimcare-web.vercel.app/location/chimney-inspection-in-dracut-ma/,200,ma,23,2,38,
chimney-inspection-in-dracut-ma-2,https://chimcare-web.vercel.app/location/chimney-inspection-in-dracut-ma-2/,200,-2,0,2,33,
chimney-inspection-in-leominster-ma,https://chimcare-web.vercel.app/location/chimney-inspection-in-leominster-ma/,200,ma,24,2,54,
chimney-inspection-in-leominster-ma-2,https://chimcare-web.vercel.app/location/chimney-inspection-in-leominster-ma-2/,200,-2,0,2,54,
chimney-inspection-in-lowell-ma,https://chimcare-web.vercel.app/location/chimney-inspection-in-lowell-ma/,200,ma,22,2,36,
chimney-inspection-in-lowell-ma-2,https://chimcare-web.vercel.app/location/chimney-inspection-in-lowell-ma-2/,200,-2,0,2,34,
chimney-inspection-in-phoenix-az,https://chimcare-web.vercel.app/location/chimney-inspection-in-phoenix-az/,200,az,7,2,37,
chimney-inspection-in-springfield-ma,https://chimcare-web.vercel.app/location/chimney-inspection-in-springfield-ma/,200,ma,23,2,36,
chimney-inspection-in-springfield-ma-2,https://chimcare-web.vercel.app/location/chimney-inspection-in-springfield-ma-2/,200,-2,0,2,32,
chimney-inspection-in-weymouth-ma,https://chimcare-web.vercel.app/location/chimney-inspection-in-weymouth-ma/,200,ma,24,2,41,
chimney-inspection-in-weymouth-ma-2,https://chimcare-web.vercel.app/location/chimney-inspection-in-weymouth-ma-2/,200,-2,0,2,33,
chimney-inspection-in-worcester-ma,https://chimcare-web.vercel.app/location/chimney-inspection-in-worcester-ma/,200,ma,23,2,34,
