slug,url,live_url,title,state,words,blocks_total,blocks_rendered,words_archived,service_links,has_hero_image,meta_description
caps-rain-pans-in-lowell-ma,/location/caps-rain-pans-in-lowell-ma/,https://chimcare-web.vercel.app/location/caps-rain-pans-in-lowell-ma/,"Caps and Rain Pans in Lowell,MA",ma,764,37,2,661,23,yes,no
caps-rain-pans-in-springfield-ma,/location/caps-rain-pans-in-springfield-ma/,https://chimcare-web.vercel.app/location/caps-rain-pans-in-springfield-ma/,"Caps and Rain Pans in Springfield,MA",ma,808,35,2,721,24,yes,no
caps-rain-pans-in-weymouth-ma,/location/caps-rain-pans-in-weymouth-ma/,https://chimcare-web.vercel.app/location/caps-rain-pans-in-weymouth-ma/,"Caps and Rain Pans in Weymouth,MA",ma,672,32,2,569,25,yes,no
caps-rain-pans-in-worcester-ma,/location/caps-rain-pans-in-worcester-ma/,https://chimcare-web.vercel.app/location/caps-rain-pans-in-worcester-ma/,"Caps and Rain Pans in Worcester,MA",ma,654,33,2,550,24,yes,no
chimcare-chimney-sweep-in-burlington-ma,/location/chimcare-chimney-sweep-in-burlington-ma/,https://chimcare-web.vercel.app/location/chimcare-chimney-sweep-in-burlington-ma/,"Chimney Sweep & Fireplace Services in Burlington, MA",ma,927,67,2,863,24,yes,yes
chimney-animal-removal-in-cambridge-ma,/location/chimney-animal-removal-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-animal-removal-in-cambridge-ma/,"Chimney Animal Removal in Cambridge,MA",ma,617,32,2,528,23,yes,no
chimney-animal-removal-in-dracut-ma,/location/chimney-animal-removal-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-animal-removal-in-dracut-ma/,"Chimney Animal Removal in Dracut,MA",ma,565,33,2,498,23,yes,no
chimney-animal-removal-in-leominster-ma,/location/chimney-animal-removal-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-animal-removal-in-leominster-ma/,"Chimney Animal Removal in Leominster,MA",ma,1041,55,2,967,24,yes,no
chimney-animal-removal-in-lowell-ma,/location/chimney-animal-removal-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-animal-removal-in-lowell-ma/,"Chimney Animal Removal in Lowell,MA",ma,650,33,2,546,22,yes,no
chimney-animal-removal-in-springfield-ma,/location/chimney-animal-removal-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-animal-removal-in-springfield-ma/,"Chimney Animal Removal in Springfield,MA",ma,760,37,2,666,23,yes,no
chimney-animal-removal-in-weymouth-ma,/location/chimney-animal-removal-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-animal-removal-in-weymouth-ma/,"Chimney Animal Removal in Weymouth,MA",ma,684,34,2,606,24,yes,no
chimney-animal-removal-in-worcester-ma,/location/chimney-animal-removal-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-animal-removal-in-worcester-ma/,"Chimney Animal Removal in Worcester,MA",ma,697,32,2,595,23,yes,no
chimney-bricks-repair-in-cambridge-ma,/location/chimney-bricks-repair-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-bricks-repair-in-cambridge-ma/,"Chimney Bricks Repair in Cambridge,MA",ma,615,34,2,525,24,yes,no
chimney-bricks-repair-in-dracut-ma,/location/chimney-bricks-repair-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-bricks-repair-in-dracut-ma/,"Chimney Bricks Repair in Dracut,MA",ma,729,38,2,637,24,yes,no
chimney-bricks-repair-in-leominster-ma,/location/chimney-bricks-repair-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-bricks-repair-in-leominster-ma/,"Chimney Bricks Repair in Leominster,MA",ma,1077,53,2,997,25,yes,no
chimney-bricks-repair-in-lowell-ma,/location/chimney-bricks-repair-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-bricks-repair-in-lowell-ma/,"Chimney Bricks Repair in Lowell,MA",ma,799,37,2,691,23,yes,no
chimney-bricks-repair-in-springfield-ma,/location/chimney-bricks-repair-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-bricks-repair-in-springfield-ma/,"Chimney Bricks Repair in Springfield,MA",ma,499,26,2,416,24,yes,no
chimney-bricks-repair-in-weymouth-ma,/location/chimney-bricks-repair-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-bricks-repair-in-weymouth-ma/,"Chimney Bricks Repair in Weymouth,MA",ma,764,35,2,673,25,yes,no
chimney-bricks-repair-in-worcester-ma,/location/chimney-bricks-repair-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-bricks-repair-in-worcester-ma/,"Chimney Bricks Repair in Worcester,MA",ma,637,36,2,543,24,yes,no
chimney-cap-installation-in-cambridge-ma,/location/chimney-cap-installation-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-cambridge-ma/,"Chimney Cap Installation in Cambridge,MA",ma,758,36,2,679,23,yes,no
chimney-cap-installation-in-dracut-ma,/location/chimney-cap-installation-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-dracut-ma/,"Chimney Cap Installation in Dracut,MA",ma,667,33,2,580,23,yes,no
chimney-cap-installation-in-leominster-ma,/location/chimney-cap-installation-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-leominster-ma/,"Chimney Cap Installation in Leominster,MA",ma,1103,55,2,1040,24,yes,no
chimney-cap-installation-in-lowell-ma,/location/chimney-cap-installation-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-lowell-ma/,"Chimney Cap Installation in Lowell,MA",ma,682,32,2,591,22,yes,no
chimney-cap-installation-in-phoenix-az,/location/chimney-cap-installation-in-phoenix-az/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-phoenix-az/,"Chimney Cap Installation in Phoenix,AZ",az,787,36,2,679,7,yes,no
chimney-cap-installation-in-springfield-ma,/location/chimney-cap-installation-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-springfield-ma/,"Chimney Cap Installation in Springfield,MA",ma,713,33,2,611,23,yes,no
chimney-cap-installation-in-weymouth-ma,/location/chimney-cap-installation-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-weymouth-ma/,"Chimney Cap Installation in Weymouth,MA",ma,754,38,2,663,24,yes,no
chimney-cap-installation-in-worcester-ma,/location/chimney-cap-installation-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-cap-installation-in-worcester-ma/,"Chimney Cap Installation in Worcester,MA",ma,638,36,2,542,23,yes,no
chimney-cap-repair-in-cambridge-ma,/location/chimney-cap-repair-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-cap-repair-in-cambridge-ma/,"Chimney Cap Repair in Cambridge,MA",ma,712,37,2,623,23,yes,no
chimney-cap-repair-in-dracut-ma,/location/chimney-cap-repair-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-cap-repair-in-dracut-ma/,"Chimney Cap Repair in Dracut,MA",ma,688,32,2,589,23,yes,no
chimney-cap-repair-in-leominster-ma,/location/chimney-cap-repair-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-cap-repair-in-leominster-ma/,"Chimney Cap Repair in Leominster,MA",ma,1109,51,2,1041,24,yes,no
chimney-cap-repair-in-lowell-ma,/location/chimney-cap-repair-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-cap-repair-in-lowell-ma/,"Chimney Cap Repair in Lowell,MA",ma,619,37,2,541,22,yes,no
chimney-cap-repair-in-springfield-ma,/location/chimney-cap-repair-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-cap-repair-in-springfield-ma/,"Chimney Cap Repair in Springfield,MA",ma,717,33,2,609,23,yes,no
chimney-cap-repair-in-weymouth-ma,/location/chimney-cap-repair-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-cap-repair-in-weymouth-ma/,"Chimney Cap Repair in Weymouth,MA",ma,673,31,2,568,24,yes,no
chimney-cap-repair-in-worcester-ma,/location/chimney-cap-repair-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-cap-repair-in-worcester-ma/,"Chimney Cap Repair in Worcester,MA",ma,752,38,2,662,23,yes,no
chimney-caps-in-cambridge-ma,/location/chimney-caps-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-caps-in-cambridge-ma/,"Chimney Caps in Cambridge,MA",ma,685,33,2,585,24,yes,no
chimney-caps-in-cambridge-ma-2,/location/chimney-caps-in-cambridge-ma-2/,https://chimcare-web.vercel.app/location/chimney-caps-in-cambridge-ma-2/,"Chimney Caps (product) in Cambridge,MA",-2,720,45,2,621,0,yes,no
chimney-caps-in-dracut-ma,/location/chimney-caps-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-caps-in-dracut-ma/,"Chimney Caps in Dracut,MA",ma,739,35,2,629,24,yes,no
chimney-caps-in-dracut-ma-2,/location/chimney-caps-in-dracut-ma-2/,https://chimcare-web.vercel.app/location/chimney-caps-in-dracut-ma-2/,"Chimney Caps (product) in Dracut,MA",-2,697,35,2,600,0,yes,no
chimney-caps-in-leominster-ma,/location/chimney-caps-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-caps-in-leominster-ma/,"Chimney Caps in Leominster,MA",ma,1081,55,2,1010,25,yes,no
chimney-caps-in-leominster-ma-2,/location/chimney-caps-in-leominster-ma-2/,https://chimcare-web.vercel.app/location/chimney-caps-in-leominster-ma-2/,"Chimney Caps (product) in Leominster,MA",-2,1087,53,2,1012,0,yes,no
chimney-caps-in-lowell-ma,/location/chimney-caps-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-caps-in-lowell-ma/,"Chimney Caps (product) in Lowell,MA",ma,760,39,2,661,23,yes,no
chimney-caps-in-springfield-ma,/location/chimney-caps-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-caps-in-springfield-ma/,"Chimney Caps in Springfield,MA",ma,673,37,2,581,24,yes,no
chimney-caps-in-springfield-ma-2,/location/chimney-caps-in-springfield-ma-2/,https://chimcare-web.vercel.app/location/chimney-caps-in-springfield-ma-2/,"Chimney Caps (product) in Springfield,MA",-2,771,34,2,675,0,yes,no
chimney-caps-in-worcester-ma,/location/chimney-caps-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-caps-in-worcester-ma/,"Chimney Caps in Worcester,MA",ma,750,36,2,651,24,yes,no
chimney-caps-repair-in-lowell-ma,/location/chimney-caps-repair-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-caps-repair-in-lowell-ma/,"Chimney Caps in Lowell,MA",ma,1097,43,2,1009,23,yes,no
chimney-caps-repair-in-weymouth-ma,/location/chimney-caps-repair-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-caps-repair-in-weymouth-ma/,"Chimney Caps (product) in Weymouth,MA",ma,743,33,2,657,25,yes,no
chimney-caps-repair-in-worcester-ma,/location/chimney-caps-repair-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-caps-repair-in-worcester-ma/,"Chimney Caps (product) in Worcester,MA",ma,725,31,2,634,24,yes,no
chimney-chase-covering-in-cambridge-ma,/location/chimney-chase-covering-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-chase-covering-in-cambridge-ma/,"Chimney Chase Covering in Cambridge,MA",ma,654,32,2,564,24,yes,no
chimney-chase-covering-in-dracut-ma,/location/chimney-chase-covering-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-chase-covering-in-dracut-ma/,"Chimney Chase Covering in Dracut,MA",ma,1028,46,2,940,24,yes,no
chimney-chase-covering-in-leominster-ma,/location/chimney-chase-covering-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-chase-covering-in-leominster-ma/,"Chimney Chase Covering in Leominster,MA",ma,1088,53,2,1004,25,yes,no
chimney-chase-covering-in-lowell-ma,/location/chimney-chase-covering-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-chase-covering-in-lowell-ma/,"Chimney Chase Covering in Lowell,MA",ma,792,36,2,688,23,yes,no
chimney-chase-covering-in-springfield-ma,/location/chimney-chase-covering-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-chase-covering-in-springfield-ma/,"Chimney Chase Covering in Springfield,MA",ma,846,36,2,750,24,yes,no
chimney-chase-covering-in-weymouth-ma,/location/chimney-chase-covering-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-chase-covering-in-weymouth-ma/,"Chimney Chase Covering in Weymouth,MA",ma,766,36,2,667,25,yes,no
chimney-chase-covering-in-worcester-ma,/location/chimney-chase-covering-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-chase-covering-in-worcester-ma/,"Chimney Chase Covering in Worcester,MA",ma,809,36,2,713,24,yes,no
chimney-chase-restoration-in-cambridge-ma,/location/chimney-chase-restoration-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-chase-restoration-in-cambridge-ma/,"Chimney Chase Restoration in Cambridge,MA",ma,621,33,2,539,24,yes,no
chimney-chase-restoration-in-dracut-ma,/location/chimney-chase-restoration-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-chase-restoration-in-dracut-ma/,"Chimney Chase Restoration in Dracut,MA",ma,709,38,2,605,24,yes,no
chimney-chase-restoration-in-leominster-ma,/location/chimney-chase-restoration-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-chase-restoration-in-leominster-ma/,"Chimney Chase Restoration in Leominster,MA",ma,1076,52,2,1000,25,yes,no
chimney-chase-restoration-in-lowell-ma,/location/chimney-chase-restoration-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-chase-restoration-in-lowell-ma/,"Chimney Chase Restoration in Lowell,MA",ma,702,37,2,618,23,yes,no
chimney-chase-restoration-in-springfield-ma,/location/chimney-chase-restoration-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-chase-restoration-in-springfield-ma/,"Chimney Chase Restoration in Springfield,MA",ma,1040,40,2,924,24,yes,no
chimney-chase-restoration-in-weymouth-ma,/location/chimney-chase-restoration-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-chase-restoration-in-weymouth-ma/,"Chimney Chase Restoration in Weymouth,MA",ma,636,31,2,549,25,yes,no
chimney-chase-restoration-in-worcester-ma,/location/chimney-chase-restoration-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-chase-restoration-in-worcester-ma/,"Chimney Chase Restoration in Worcester,MA",ma,754,37,2,649,24,yes,no
chimney-cleaning-in-cambridge-ma,/location/chimney-cleaning-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-cambridge-ma/,"Chimney Cleaning in Cambridge,MA",ma,720,38,2,639,23,yes,no
chimney-cleaning-in-dracut-ma,/location/chimney-cleaning-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-dracut-ma/,"Chimney Cleaning in Dracut,MA",ma,659,32,2,573,23,yes,no
chimney-cleaning-in-leominster-ma,/location/chimney-cleaning-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-leominster-ma/,"Chimney Cleaning in Leominster,MA",ma,1085,53,2,1015,24,yes,no
chimney-cleaning-in-lowell-ma,/location/chimney-cleaning-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-lowell-ma/,"Chimney Cleaning in Lowell,MA",ma,721,39,2,633,22,yes,no
chimney-cleaning-in-phoenix-az,/location/chimney-cleaning-in-phoenix-az/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-phoenix-az/,"Chimney Cleaning in Phoenix,AZ",az,715,35,2,636,7,yes,no
chimney-cleaning-in-springfield-ma,/location/chimney-cleaning-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-springfield-ma/,"Chimney Cleaning in Springfield,MA",ma,643,35,2,564,23,yes,no
chimney-cleaning-in-weymouth-ma,/location/chimney-cleaning-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-weymouth-ma/,"Chimney Cleaning in Weymouth,MA",ma,667,33,2,586,24,yes,no
chimney-cleaning-in-worcester-ma,/location/chimney-cleaning-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-in-worcester-ma/,"Chimney Cleaning in Worcester,MA",ma,649,35,2,559,23,yes,no
chimney-cleaning-maintenance-services-in-cambridge-ma,/location/chimney-cleaning-maintenance-services-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-maintenance-services-in-cambridge-ma/,"Chimney Cleaning & Maintenance Services in Cambridge,MA",ma,653,33,2,572,24,yes,no
chimney-cleaning-maintenance-services-in-dracut-ma,/location/chimney-cleaning-maintenance-services-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-maintenance-services-in-dracut-ma/,"Chimney Cleaning & Maintenance Services in Dracut,MA",ma,670,33,2,568,24,yes,no
chimney-cleaning-maintenance-services-in-leominster-ma,/location/chimney-cleaning-maintenance-services-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-maintenance-services-in-leominster-ma/,"Chimney Cleaning & Maintenance Services in Leominster,MA",ma,1001,48,2,911,25,yes,no
chimney-cleaning-maintenance-services-in-lowell-ma,/location/chimney-cleaning-maintenance-services-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-maintenance-services-in-lowell-ma/,"Chimney Cleaning & Maintenance Services in Lowell,MA",ma,763,37,2,679,23,yes,no
chimney-cleaning-maintenance-services-in-springfield-ma,/location/chimney-cleaning-maintenance-services-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-maintenance-services-in-springfield-ma/,"Chimney Cleaning & Maintenance Services in Springfield,MA",ma,716,32,2,625,24,yes,no
chimney-cleaning-maintenance-services-in-weymouth-ma,/location/chimney-cleaning-maintenance-services-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-maintenance-services-in-weymouth-ma/,"Chimney Cleaning & Maintenance Services in Weymouth,MA",ma,653,36,2,571,25,yes,no
chimney-cleaning-maintenance-services-in-worcester-ma,/location/chimney-cleaning-maintenance-services-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-cleaning-maintenance-services-in-worcester-ma/,"Chimney Cleaning & Maintenance Services in Worcester,MA",ma,717,38,2,619,24,yes,no
chimney-construction-in-cambridge-ma,/location/chimney-construction-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-construction-in-cambridge-ma/,"Chimney Construction in Cambridge,MA",ma,741,34,2,657,24,yes,no
chimney-construction-in-dracut-ma,/location/chimney-construction-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-construction-in-dracut-ma/,"Chimney Construction in Dracut,MA",ma,767,33,2,658,24,yes,no
chimney-construction-in-leominster-ma,/location/chimney-construction-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-construction-in-leominster-ma/,"Chimney Construction in Leominster,MA",ma,1073,52,2,1011,25,yes,no
chimney-construction-in-lowell-ma,/location/chimney-construction-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-construction-in-lowell-ma/,"Chimney Construction in Lowell,MA",ma,567,33,2,488,23,yes,no
chimney-construction-in-springfield-ma,/location/chimney-construction-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-construction-in-springfield-ma/,"Chimney Construction in Springfield,MA",ma,692,34,2,606,24,yes,no
chimney-construction-in-weymouth-ma,/location/chimney-construction-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-construction-in-weymouth-ma/,"Chimney Construction in Weymouth,MA",ma,691,34,2,615,25,yes,no
chimney-construction-in-worcester-ma,/location/chimney-construction-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-construction-in-worcester-ma/,"Chimney Construction in Worcester,MA",ma,588,36,2,494,24,yes,no
chimney-cricket-installation-in-cambridge-ma,/location/chimney-cricket-installation-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-cricket-installation-in-cambridge-ma/,"Chimney Cricket Installation in Cambridge,MA",ma,799,35,2,703,24,yes,no
chimney-cricket-installation-in-dracut-ma,/location/chimney-cricket-installation-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-cricket-installation-in-dracut-ma/,"Chimney Cricket Installation in Dracut,MA",ma,767,33,2,658,24,yes,no
chimney-cricket-installation-in-leominster-ma,/location/chimney-cricket-installation-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-cricket-installation-in-leominster-ma/,"Chimney Cricket Installation in Leominster,MA",ma,1121,49,2,1021,25,yes,no
chimney-cricket-installation-in-lowell-ma,/location/chimney-cricket-installation-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-cricket-installation-in-lowell-ma/,"Chimney Cricket Installation in Lowell,MA",ma,735,35,2,613,23,yes,no
chimney-cricket-installation-in-springfield-ma,/location/chimney-cricket-installation-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-cricket-installation-in-springfield-ma/,"Chimney Cricket Installation in Springfield,MA",ma,732,34,2,630,24,yes,no
chimney-cricket-installation-in-weymouth-ma,/location/chimney-cricket-installation-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-cricket-installation-in-weymouth-ma/,"Chimney Cricket Installation in Weymouth,MA",ma,789,34,2,695,25,yes,no
chimney-cricket-installation-in-worcester-ma,/location/chimney-cricket-installation-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-cricket-installation-in-worcester-ma/,"Chimney Cricket Installation in Worcester,MA",ma,597,37,2,501,24,yes,no
chimney-crown-repair-in-cambridge-ma,/location/chimney-crown-repair-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-crown-repair-in-cambridge-ma/,"Chimney Crown Repair in Cambridge,MA",ma,1020,46,2,933,23,yes,no
chimney-crown-repair-in-dracut-ma,/location/chimney-crown-repair-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-crown-repair-in-dracut-ma/,"Chimney Crown Repair in Dracut,MA",ma,682,33,2,592,23,yes,no
chimney-crown-repair-in-leominster-ma,/location/chimney-crown-repair-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-crown-repair-in-leominster-ma/,"Chimney Crown Repair in Leominster,MA",ma,1077,52,2,995,24,yes,no
chimney-crown-repair-in-lowell-ma,/location/chimney-crown-repair-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-crown-repair-in-lowell-ma/,"Chimney Crown Repair in Lowell,MA",ma,735,38,2,628,22,yes,no
chimney-crown-repair-in-springfield-ma,/location/chimney-crown-repair-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-crown-repair-in-springfield-ma/,"Chimney Crown Repair in Springfield,MA",ma,775,34,2,653,23,yes,no
chimney-crown-repair-in-weymouth-ma,/location/chimney-crown-repair-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-crown-repair-in-weymouth-ma/,"Chimney Crown Repair in Weymouth,MA",ma,682,33,2,583,24,yes,no
chimney-crown-repair-in-worcester-ma,/location/chimney-crown-repair-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-crown-repair-in-worcester-ma/,"Chimney Crown Repair in Worcester,MA",ma,697,36,2,602,23,yes,no
chimney-crowns-in-cambridge-ma,/location/chimney-crowns-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-crowns-in-cambridge-ma/,"Chimney Crowns in Cambridge,MA",ma,727,34,2,634,24,yes,no
chimney-crowns-in-dracut-ma,/location/chimney-crowns-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-crowns-in-dracut-ma/,"Chimney Crowns in Dracut,MA",ma,686,33,2,577,24,yes,no
chimney-crowns-in-springfield-ma,/location/chimney-crowns-in-springfield-ma/,https://chimcare-web.vercel.app/location/chimney-crowns-in-springfield-ma/,"Chimney Crowns in Springfield,MA",ma,709,35,2,611,24,yes,no
chimney-crowns-repair-in-leominster-ma,/location/chimney-crowns-repair-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-crowns-repair-in-leominster-ma/,"Chimney Crowns in Leominster,MA",ma,1060,52,2,985,25,yes,no
chimney-crowns-repair-in-lowell-ma,/location/chimney-crowns-repair-in-lowell-ma/,https://chimcare-web.vercel.app/location/chimney-crowns-repair-in-lowell-ma/,"Chimney Crowns in Lowell,MA",ma,780,33,2,676,23,yes,no
chimney-crowns-repair-in-weymouth-ma,/location/chimney-crowns-repair-in-weymouth-ma/,https://chimcare-web.vercel.app/location/chimney-crowns-repair-in-weymouth-ma/,"Chimney Crowns in Weymouth,MA",ma,634,32,2,541,25,yes,no
chimney-crowns-repair-in-worcester-ma,/location/chimney-crowns-repair-in-worcester-ma/,https://chimcare-web.vercel.app/location/chimney-crowns-repair-in-worcester-ma/,"Chimney Crowns in Worcester,MA",ma,696,35,2,603,24,yes,no
chimney-damper-repair-in-cambridge-ma,/location/chimney-damper-repair-in-cambridge-ma/,https://chimcare-web.vercel.app/location/chimney-damper-repair-in-cambridge-ma/,"Chimney Damper Repair in Cambridge,MA",ma,724,34,2,638,23,yes,no
chimney-damper-repair-in-dracut-ma,/location/chimney-damper-repair-in-dracut-ma/,https://chimcare-web.vercel.app/location/chimney-damper-repair-in-dracut-ma/,"Chimney Damper Repair in Dracut,MA",ma,721,32,2,630,23,yes,no
chimney-damper-repair-in-leominster-ma,/location/chimney-damper-repair-in-leominster-ma/,https://chimcare-web.vercel.app/location/chimney-damper-repair-in-leominster-ma/,"Chimney Damper Repair in Leominster,MA",ma,1063,49,2,989,24,yes,no
